sep=;
Hole No;Easting;Northing;Sheet No;Start Depth;End Depth;Grade;Soil/Rock Description;Soil/Rock Type;Confidence Level
C3_v1;839917.04;816533.05;3;21.45;22.90;III;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse-grained GRANITE with widely to medium spaced, rough planar, limonite, manganese stained joints, dipping 70 degrees, 20 degrees*, 85 degrees;Granite;0.95
C3_v1;839917.04;816533.05;3;22.90;28.70;III;21.45m-22.90m: Moderately strong, pinkish grey spotted black and white, moderately decomposed medium to coarse-grained GRANITE.;Granite;0.95
C3A_v1;839916.88;816527.06;1;0.00;0.40;V;Coarse grained, poorly graded silty medium to coarse SAND, with cobbles and gravels of moderately decomposed granite.;Fill;0.90
C3A_v1;839916.88;816527.06;1;0.40;18.89;;Wash boring, (No recovery);No Recovery;0.90
C3A_v1;839916.88;816527.06;2;18.89;20.90;;SEE SHEET 3 OF 3.;No Recovery;0.90
C3A_v1;839916.88;816527.06;3;20.90;28.09;II/III;Strong, pinkish grey spotted black and white, slightly decomposed to moderately decomposed GRANITE with widely to medium spaced,           alkali feldspar named joints,                    manganeses,limonite stained and           calcite stained. Joints           40Â degrees-60Â degrees and occasionally vertical joints.;Granite;0.95
C4_v1;839915.68;816522.34;1;0.00;1.72;;Concrete with steel bars.;Concrete;1.00
C4_v1;839915.68;816522.34;1;1.72;17.88;;Concrete with steel bars and steel fragments.;Concrete;1.00
C4_v1;839915.68;816522.34;2;17.88;28.06;II;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite stained, kaolin coated and clean joints, dipping 10 degrees-20 degrees, 75 degrees-85 degrees and occasionally vertical joints.;Granite;1.00
C6_v1;839916.27;816498.47;1;0.00;0.60;;Concrete with red brick fragments. (FILL);Fill;1.00
C6_v1;839916.27;816498.47;1;0.60;17.25;;Wash Boring. (No Recovery);No Recovery;1.00
C6_v1;839916.27;816498.47;2;17.25;26.19;II;Strong, greyish pink spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite and manganese stained joints, dipping 10 degrees-20 degrees, 50 degrees-60 degrees and 70 degrees-80 degrees.;Granite;1.00
D1a_v1;839926.71;816550.74;1;0.00;0.20;;Concrete slab;Concrete;1.00
D1a_v1;839926.71;816550.74;1;0.20;2.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
D1a_v1;839926.71;816550.74;1;2.00;7.50;;Angular Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND and some concrete fragment. (FILL);Fill;1.00
D1a_v1;839926.71;816550.74;1;7.50;27.50;;Wash boring. No recovery.;No Recovery;1.00
D1a_v1;839926.71;816550.74;3;27.50;38.30;III;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained, chloride and kaolin coated joints, dipping 10 degrees-20 degrees and 30 degrees-50 degrees.;Granite;1.00
B5_v1;839906.13;816512.28;1;0.00;0.20;;Concrete Slab;Concrete;1.00
B5_v1;839906.13;816512.28;1;0.20;1.80;;Concrete with COBBLES and GRAVELS of moderately decomposed granite and some red bricks. (FILL);Fill;1.00
B5_v1;839906.13;816512.28;1;1.80;19.30;;Wash boring. (No recovery);No Recovery;1.00
B5_v1;839906.13;816512.28;2;19.30;20.30;IV/III;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed, medium to coarse grained GRANITE with closely spaced, narrow, rough planar, limonite, manganese stained joints, dipping 10 degrees-20 degrees;Granite;0.95
B5_v1;839906.13;816512.28;3;20.30;20.75;III;moderately decomposed, medium to coarse grained GRANITE;Granite;0.90
B5_v1;839906.13;816512.28;3;20.75;22.48;II;Strong, pinkish grey spotted black and white, slightly decomposed, medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, extremely narrow to very narrow, rough planar, limonite, manganese stained joints, dipping 10 degrees-20 degrees & 40 degrees-50 degrees;Granite;0.95
B5_v1;839906.13;816512.28;3;22.48;22.80;III;moderately decomposed, medium to coarse grained GRANITE;Granite;0.90
B5_v1;839906.13;816512.28;3;22.80;29.96;II;Strong, pinkish grey spotted black and white, slightly decomposed, medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, extremely narrow to very narrow, rough planar, limonite, manganese stained joints, dipping 10 degrees-20 degrees & 40 degrees-50 degrees;Granite;0.95
B6_v1;839905.77;816498.75;1;0.00;0.70;;Concrete with red brick fragments and steel fragments. (FILL);Fill;1.00
B6_v1;839905.77;816498.75;1;0.70;18.30;;Wash Boring. (No Recovery);No Recovery;1.00
B6_v1;839905.77;816498.75;2;18.30;20.20;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;1.00
B6_v1;839905.77;816498.75;3;20.20;20.70;IV/III;Moderately weak to moderately strong, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite and manganese stained, kaolin and chlorite coated joints, dipping 10-20, 30-40, 55-70 and occasionally vertical joints.;Granite;1.00
B6_v1;839905.77;816498.75;3;20.70;26.35;IV;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;0.90
C5_v1;830916.63;816512.00;1;0.00;1.20;;Concrete Slab;Concrete;1.00
C5_v1;830916.63;816512.00;1;1.20;2.50;;Brownish yellow Cobbles and Gravels of moderately decomposed granite with some steel bars and steel fragment. (FILL);Fill;1.00
C5_v1;830916.63;816512.00;1;2.50;16.45;;Wash boring. (No recovery);Wash Boring;1.00
C5_v1;830916.63;816512.00;2;16.45;28.07;III/II;Strong, pinkish grey spotted black and white, slightly to moderately decomposed medium grained GRANITE with widely to medium spaced, moderately open, rough planar, limonite, manganese stained, kaolin filled joints dipping at 70 degrees;Granite;0.95
DH10_v1;839894.66;816517.40;1;0.00;19.00;;Wash Boring. (No Recovery);No Recovery;1.00
DH10_v1;839894.66;816517.40;2;19.00;19.50;;Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some grey, silty SAND. (ALLUVIUM);Alluvium;1.00
DH10_v1;839894.66;816517.40;3;19.50;21.20;;Wash Boring. (No Recovery);No Recovery;1.00
DH10_v1;839894.66;816517.40;3;21.20;22.70;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, very narrow, rough planar, limonite and manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees and 50 degrees-60 degrees.;Granite;1.00
DH10_v1;839894.66;816517.40;3;22.70;27.43;III/II;Moderately strong to strong, greyish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite and manganese stained joints, dipping 10 degrees-20 degrees and 50 degrees-60 degrees.;Granite;1.00
DH11_v1;839894.69;816520.18;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH11_v1;839894.69;816520.18;1;0.20;1.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH11_v1;839894.69;816520.18;1;1.00;17.80;;Wash boring. (No recovery);No Recovery;1.00
DH11_v1;839894.69;816520.18;2;17.80;19.70;;Sub-rounded GRAVEL and COBBLES of moderately decomposed granite and tuff with some brown, silty sand. (ALLUVIUM);Alluvium;1.00
DH11_v1;839894.69;816520.18;2;19.70;20.25;;Wash boring. (No recovery);No Recovery;1.00
DH11_v1;839894.69;816520.18;3;20.25;25.84;III/II;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed, medium to coarse grained GRANITE with medium to closely spaced, very narrow, rough planar, limonite, manganese stained joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 65 degrees-80 degrees and occasionally vertical joints.;Granite;1.00
DH12_v1;839894.70;816523.07;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH12_v1;839894.70;816523.07;1;0.20;2.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH12_v1;839894.70;816523.07;1;2.00;6.50;;Wash boring. (No recovery);No Recovery;1.00
DH12_v1;839894.70;816523.07;1;6.50;7.00;;Angular GRAVEL and COBBLES of moderately decomposed granite with some brown silty SAND. (FILL);Fill;1.00
DH12_v1;839894.70;816523.07;1;7.00;18.00;;Wash boring. (No recovery);No Recovery;1.00
DH12_v1;839894.70;816523.07;2;18.00;18.70;;Sub-rounded GRAVEL and COBBLES of moderately decomposed granite and tuff with some brown, silty SAND. (ALLUVIUM);Alluvium;1.00
DH12_v1;839894.70;816523.07;2;18.70;19.94;III;Moderately strong to strong, greyish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced;Granite;0.95
DH12_v1;839894.70;816523.07;3;19.94;20.50;IV;extremely narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 60 degrees-70 degrees and occasionally vertical joints.;Granite;0.95
DH12_v1;839894.70;816523.07;3;20.50;25.96;III/II;18.70m-19.94m: moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE.;Granite;0.95
DH13_v1;839894.76;816525.58;1;0.00;1.65;V;Angular red bricks and concrete fragments with some gray silty SAND and some rubbish and charred fragments. (FILL);Fill;0.90
DH13_v1;839894.76;816525.58;1;1.65;16.49;;Wash boring. (No recovery);No Recovery;0.90
DH13_v1;839894.76;816525.58;3;16.49;17.49;II/III;Sub-rounded gravel and cobbles of moderately decomposed granite and some brown, silty SAND. (ALLUVIUM);Alluvium;0.95
DH13_v1;839894.76;816525.58;3;17.49;27.35;II/III;Strong to moderately strong, moderately to slightly weathered and white, moderately to slightly decomposed coarse to medium grained GRANITE with widely to closely spaced, extremely narrow, medium to coarse grained and stained joints, dipping 10 degrees-20 degrees & 65 degrees-75 degrees.;Granite;0.95
DH14_v1;839894.79;816528.39;1;0.00;1.00;;Angular red bricks and concrete fragments with some dark grey sand and domestic rubbish. (FILL);Fill;1.00
DH14_v1;839894.79;816528.39;1;1.00;19.00;;Wash boring. (No recovery);No recovery;1.00
DH14_v1;839894.79;816528.39;2;19.00;20.60;;Sub-rounded GRAVEL and COBBLES of weathered andesitic clasts and tuff with some brown silty sand. (ALLUVIUM);Alluvium;1.00
DH14_v1;839894.79;816528.39;3;20.60;20.86;;Wash boring. (No recovery);No recovery;1.00
DH14_v1;839894.79;816528.39;3;20.86;21.86;III;Strong, pinkish grey spotted black and white, slightly decomposed to moderately decomposed GRANITE, with medium to coarse grains, and occasionally closely spaced, very narrow to medium to narrow, rough planar, limonite and manganese stained joints dipping 10 degrees-20 degrees, 40 degrees-50 degrees & 70 degrees-80 degrees. 20.86m-21.86m: moderately strong, brownish red, pinkish grey and white, moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH14_v1;839894.79;816528.39;3;21.86;26.16;II;Strong, pinkish grey spotted black and white, slightly decomposed to moderately decomposed GRANITE, with medium to coarse grains, and occasionally closely spaced, very narrow to medium to narrow, rough planar, limonite and manganese stained joints dipping 10 degrees-20 degrees, 40 degrees-50 degrees & 70 degrees-80 degrees.;Granite;1.00
DH15_v1;839894.82;816531.09;1;0.00;3.00;;Angular red bricks and concrete fragments with some grey, silty SAND. (FILL);Fill;1.00
DH15_v1;839894.82;816531.09;1;3.00;18.00;;Wash boring. (No recovery);No Recovery;1.00
DH15_v1;839894.82;816531.09;2;18.00;19.00;;Sub-rounded GRAVEL and COBBLES of moderately decomposed granite and tuff with some brown, silty sand. (ALLUVIUM);Alluvium;1.00
DH15_v1;839894.82;816531.09;2;19.00;19.35;IV/III;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed, medium to coarse grained GRANITE with medium spaced, very narrow, rough planar, limonite, manganese stained joints, dipping 20-30, 70-80.;Granite;1.00
DH15_v1;839894.82;816531.09;2;19.35;19.50;IV;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed, medium to coarse grained GRANITE with medium spaced, very narrow, rough planar, limonite, manganese stained joints, dipping 20-30, 70-80. (19.35m-19.50m: no recovery);Granite;1.00
DH15_v1;839894.82;816531.09;2;19.50;20.00;IV;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed, medium to coarse grained GRANITE with medium spaced, very narrow, rough planar, limonite, manganese stained joints, dipping 20-30, 70-80. (19.50m-20.00m: wash boring.);Granite;1.00
DH15_v1;839894.82;816531.09;3;20.00;25.12;III/II;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed, medium to coarse grained GRANITE, with medium to closely spaced, very narrow to extremely narrow, rough planar, limonite and manganese stained joints, dipping 10-20, 40-60 & 70-80.;Granite;1.00
DH16_v1;839894.90;816533.57;1;0.00;2.00;;Angular COBBLES and GRAVELS of moderately decomposed granite and tuff with some grey, silty SAND and some red brick and concrete fragments and some domestic rubbish. (FILL);Fill;1.00
DH16_v1;839894.90;816533.57;1;2.00;18.50;;Wash Boring. (No Recovery);No Recovery;1.00
DH16_v1;839894.90;816533.57;2;18.50;22.00;;Sub-rounded to rounded BOULDERS, COBBLES and GRAVELS of moderately decomposed granite and tuff with some brown, silty SAND. (ALLUVIUM);Alluvium;1.00
DH16_v1;839894.90;816533.57;3;22.00;27.45;III/II;Moderately strong to strong, pinkish grey to grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, extremely narrow, rough planar, limonite and manganese stained joints, dipping 10 degrees-20 degrees, 70 degrees-80 degrees.;Granite;1.00
DH17_v1;839894.89;816536.06;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH17_v1;839894.89;816536.06;1;0.20;2.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH17_v1;839894.89;816536.06;1;2.00;17.91;;Wash boring. (No recovery);No recovery;1.00
DH17_v1;839894.89;816536.06;2;17.91;19.50;;Sub-rounded GRAVEL and COBBLES of moderately decomposed granite and tuff with some brown, silty sand. (ALLUVIUM);Alluvium;1.00
DH17_v1;839894.89;816536.06;2;19.50;21.32;;Wash boring. (No recovery);No recovery;1.00
DH17_v1;839894.89;816536.06;3;21.32;26.77;III/II;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed, medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 60 degrees-70 degrees & 80 degrees-85 degrees.;Granite;1.00
DH18_v1;839894.92;816538.77;1;0.00;3.50;;Concrete with red brick fragments. (FILL);Fill;1.00
DH18_v1;839894.92;816538.77;1;3.50;18.70;;Wash Boring. (No Recovery);No Recovery;1.00
DH18_v1;839894.92;816538.77;2;18.70;22.50;;Sub-rounded COBBLES and GRAVELS of moderately decomposed tuff and granite with some silty sand. (ALLUVIUM);Alluvium;1.00
DH18_v1;839894.92;816538.77;3;22.50;23.77;;Wash Boring. (No Recovery);No Recovery;1.00
DH18_v1;839894.92;816538.77;3;23.77;29.71;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, very narrow, rough planar, limonite, manganese stained, kaolin and chlorite coated joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 65 degrees-80 degrees and vertical joints.;Granite;1.00
DH19_v1;839894.96;816541.61;1;0.00;2.00;;Angular red brick and concrete fragments with some grey, silty SAND.(FILL);Fill;1.00
DH19_v1;839894.96;816541.61;1;2.00;18.50;;Wash Boring.(No Recovery);No Recovery;1.00
DH19_v1;839894.96;816541.61;2;18.50;19.30;;Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some brown, silty SAND.(ALLUVIUM);Alluvium;1.00
DH19_v1;839894.96;816541.61;2;19.30;24.30;;Wash Boring.(No Recovery);No Recovery;1.00
DH19_v1;839894.96;816541.61;3;24.30;24.60;IV/III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10-20, 30-40 and vertical joints.;Granite;1.00
DH19_v1;839894.96;816541.61;3;24.60;30.37;III;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE. No Recovery at 24.60m-24.64m.;Granite;1.00
DH20_v1;839895.01;816544.09;1;0.00;2.50;;Angular red brick and concrete fragments with some grey, silty SAND.(FILL);Fill;1.00
DH20_v1;839895.01;816544.09;1;2.50;20.00;;Wash Boring.(No Recovery);No Recovery;1.00
DH20_v1;839895.01;816544.09;2;20.00;20.50;;Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some brown, silty SAND.(ALLUVIUM);Alluvium;1.00
DH20_v1;839895.01;816544.09;3;20.50;23.50;;Wash Boring.(No Recovery);No Recovery;1.00
DH20_v1;839895.01;816544.09;3;23.50;28.64;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 70 degrees-85 degrees and vertical joints. No Recovery at 23.50m-23.58m.;Granite;1.00
DH21_v1;839895.02;816546.65;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH21_v1;839895.02;816546.65;1;0.20;2.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH21_v1;839895.02;816546.65;1;2.00;22.00;;Wash boring. (No recovery);No Recovery;1.00
DH21_v1;839895.02;816546.65;3;22.00;22.20;;Sub-rounded GRAVEL and COBBLES of moderately decomposed granite and tuff with some brown silty SAND. (ALLUVIUM);Alluvium;1.00
DH21_v1;839895.02;816546.65;3;22.20;27.43;III/II;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with medium spaced, very narrow to extremely narrow, rough planar, limonite and manganese stained joints, dipping 10 degrees-20 degrees, 50 degrees-65 degrees & occasionally vertical joints.;Granite;1.00
DH23_v1;839895.09;816552.16;1;0.00;6.30;;Angular GRAVEL, COBBLES and BOULDERS of moderately decomposed granite with some grey, silty sand with some red bricks and concrete fragments. (FILL);Fill;1.00
DH23_v1;839895.09;816552.16;1;6.30;23.30;;Wash boring. (No recovery);No recovery;1.00
DH23_v1;839895.09;816552.16;3;23.30;28.00;III/II;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed, medium to coarse grained GRANITE with medium to closely spaced, extremely narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees & 65 degrees-85 degrees.;Granite;1.00
DH23_v1;839895.09;816552.16;3;28.00;28.70;III/II;28.00m-28.30m: grade III bedrock.;Granite;1.00
DH24_v1;839895.15;816554.58;1;0.00;3.00;;Angular COBBLES and GRAVELS of moderately decomposed granite and tuff with some grey, silty SAND and red brick and concrete fragments. (FILL);Fill;1.00
DH24_v1;839895.15;816554.58;1;3.00;24.20;;Wash Boring. (No Recovery);No Recovery;1.00
DH24_v1;839895.15;816554.58;3;24.20;30.64;III;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, extremely narrow, rough planar, limonite, manganese stained, kaolin and chlorite coated joints, dipping 10-20 degrees and vertical joints.;Granite;1.00
DH25_v1;838986.23;816557.36;1;0.00;1.00;;Wash Boring. (No Recovery);No Recovery;1.00
DH25_v1;838986.23;816557.36;1;1.00;6.00;;ANGULAR COBBLES and GRAVELS of moderately decomposed granite with some boulders in SAND and some red brick and concrete fragments. (FILL);Fill;1.00
DH25_v1;838986.23;816557.36;1;6.00;10.00;;Wash Boring. (No Recovery);No Recovery;1.00
DH25_v1;838986.23;816557.36;2;10.00;12.80;;Medium dense, grey, silty fine to medium SAND, with occasionally some shell fragments. (MARINE DEPOSIT);Marine Deposit;1.00
DH25_v1;838986.23;816557.36;2;12.80;15.52;;Stiff, grey, sandy SILTY CLAY. (ALLUVIUM);Alluvium;1.00
DH25_v1;838986.23;816557.36;2;15.52;16.45;;Medium dense, grey, clayey silty fine to medium SAND. (ALLUVIUM);Alluvium;1.00
DH25_v1;838986.23;816557.36;2;16.45;20.00;;Sub-rounded COBBLES and GRAVELS of moderately decomposed rock.;Alluvium;1.00
DH25_v1;838986.23;816557.36;3;20.00;24.33;V/IV;Moderately weak to moderately strong, brownish pink speckled black fine to coarse grained GRANITE (ALLUVIUM) - extremely weak, brownish pink speckled black, completely decomposed, medium to coarse grained GRANITE (Very soft, gravelly silty medium to coarse SAND.) Weak, highly decomposed zone at 24.23m-24.33m.;Granite;1.00
DH25_v1;838986.23;816557.36;3;24.33;29.80;III;Moderately weak to moderately strong, brownish pink speckled black fine to coarse grained GRANITE with some quartz veins, extremely narrow, rough planar extremely jointed, moderately decomposed, medium to coarse grained, often iron stained and kaolin coated joints dipping 10 degrees-20 degrees and 50 degrees-60 degrees.;Granite;1.00
DH26_v1;839895.30;816560.21;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH26_v1;839895.30;816560.21;1;0.20;0.90;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH26_v1;839895.30;816560.21;1;0.90;3.00;;Wash boring. (No recovery);No Recovery;1.00
DH26_v1;839895.30;816560.21;1;3.00;6.30;;Angular GRAVEL, COBBLES and BOULDERS of moderately decomposed granite with some brown, silty SAND. (FILL);Fill;1.00
DH26_v1;839895.30;816560.21;1;6.30;18.00;;Wash boring. (No recovery);No Recovery;1.00
DH26_v1;839895.30;816560.21;2;18.00;18.50;;Sub-rounded GRAVEL and COBBLES of moderately decomposed granite and tuff with some brown, silty SAND. (ALLUVIUM);Alluvium;1.00
DH26_v1;839895.30;816560.21;2;18.50;22.72;;Wash boring. (No recovery);No Recovery;1.00
DH26_v1;839895.30;816560.21;3;22.72;28.53;III/II;Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-60 degrees & 70 degrees-80 degrees.;Granite;1.00
DH27_v1;839895.38;816563.16;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH27_v1;839895.38;816563.16;1;0.20;1.40;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH27_v1;839895.38;816563.16;1;1.40;6.30;;Angular Boulder, Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND and some red bricks and concrete fragment.;Fill;1.00
DH27_v1;839895.38;816563.16;1;6.30;23.60;;Wash boring. (No recovery);No Recovery;1.00
DH27_v1;839895.38;816563.16;3;23.60;29.27;III/II;Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely spaced and occasionally medium to closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 65 degrees-75 degrees.;Granite;1.00
DH28_v1;839895.46;816566.24;1;0.0;0.2;;Concrete Slab;Concrete;1.00
DH28_v1;839895.46;816566.24;1;0.2;2.0;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH28_v1;839895.46;816566.24;1;2.0;2.5;;Wash boring. (No recovery);No Recovery;1.00
DH28_v1;839895.46;816566.24;1;2.5;7.8;;Angular Boulders, Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND. (FILL);Fill;1.00
DH28_v1;839895.46;816566.24;1;7.8;17.5;;Wash boring. (No recovery);No Recovery;1.00
DH28_v1;839895.46;816566.24;2;17.5;18.1;;Sub-rounded Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND. (ALLUVIUM);Alluvium;1.00
DH28_v1;839895.46;816566.24;2;18.1;23.67;;Wash boring. (No recovery);No Recovery;1.00
DH28_v1;839895.46;816566.24;3;23.67;29.35;III/II;Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 60 degrees-70 degrees.;Granite;1.00
DH29_v1;839895.54;816569.15;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH29_v1;839895.54;816569.15;1;0.20;0.60;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH29_v1;839895.54;816569.15;1;0.60;1.34;;Concrete with Cobbles and Gravels of moderately decomposed granite. (FILL);Fill;1.00
DH29_v1;839895.54;816569.15;1;1.34;8.30;;Sub-angular Boulders, Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND and some red bricks. (FILL);Fill;1.00
DH29_v1;839895.54;816569.15;1;8.30;18.47;;Wash boring. (No recovery);No Recovery;1.00
DH29_v1;839895.54;816569.15;2;18.47;18.90;;Sub-rounded Boulder, Cobbles and Gravels of moderately decomposed granite and tuff with some brown silty SAND.;Alluvium;1.00
DH29_v1;839895.54;816569.15;2;18.90;21.00;;Wash boring. (No recovery);No Recovery;1.00
DH29_v1;839895.54;816569.15;3;21.00;22.00;;Cobbles and Gravels of moderately decomposed granite and tuff with some brown silty SAND.;Alluvium;1.00
DH29_v1;839895.54;816569.15;3;22.00;24.00;;Wash boring. (No recovery);No Recovery;1.00
DH29_v1;839895.54;816569.15;3;24.00;29.39;III/II;Moderately strong to strong, greyish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 65 degrees-75 degrees and occasionally vertical joints.;Granite;1.00
DH30_v1;839895.64;816573.02;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH30_v1;839895.64;816573.02;1;0.20;1.50;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH30_v1;839895.64;816573.02;1;1.50;10.50;;Angular GRAVEL, COBBLES and BOULDERS of moderately decomposed granite and tuff with some brown, silty SAND and some concrete fragment and red bricks. (FILL);Fill;0.95
DH30_v1;839895.64;816573.02;2;10.50;23.00;;Wash boring. (No recovery);No Recovery;1.00
DH30_v1;839895.64;816573.02;3;23.00;24.50;;Sub-rounded GRAVEL and COBBLES of moderately decomposed granite and tuff with some brown, silty SAND. (ALLUVIUM);Alluvium;1.00
DH30_v1;839895.64;816573.02;3;24.50;29.69;III/II;Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10-20, 40-50 & 65-75.;Granite;1.00
DH31_v1;839900.83;816572.58;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH31_v1;839900.83;816572.58;1;0.20;2.10;;Wash boring. (No recovery);No Recovery;1.00
DH31_v1;839900.83;816572.58;1;2.10;8.50;;Concrete with Boulder, Cobbles and Gravels of moderately decomposed granite with some red bricks. (FILL);Fill;1.00
DH31_v1;839900.83;816572.58;1;8.50;24.58;;Wash boring. (No recovery);No Recovery;1.00
DH31_v1;839900.83;816572.58;3;24.58;29.00;III/II;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, chlorite, kaolin and manganese stained joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 60 degrees-70 degrees.;Granite;1.00
DH31_v1;839900.83;816572.58;3;29.00;30.12;III;Moderately strong, moderately decomposed zone.;Granite;1.00
DH32_v1;839903.44;816571.24;1;0.00;0.20;;Concrete Slab;Concrete;1.00
